domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
tecportais.com/users-active/fr/Processing.htm?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43652b4417caacc7ce952cbb4bac71553b602b4417caacc7ce952cbb4bac71553b60,10000000,0,0,0,199,0,0,0,14,1,1
www.coletivodepalhacos.com.br/~mpolvora/accounts.department.online.team/webscr.php,10000000,0,0,0,82,0,0,0,29,3,1
www.cowell.org/~andy/min/bb/,10000000,0,1,8035,28,0,0,0,14,2,0
tools.ietf.org/html/rfc1203,14969,0,1,9133,27,0,0,0,14,2,0
robrosedanville.net/~purebusi/paypal/,10000000,0,0,0,37,0,0,0,19,1,1
www.oardc.ohio-state.edu/hocorn/,10000000,0,0,0,32,0,0,1,24,3,0
s1.zetaboards.com/Elefor/index/,5335,0,1,5479,31,0,0,0,17,2,0
www.esns.org.ua/ESNS_EN.HTM,10000000,0,0,0,27,0,0,0,15,3,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7coZ0rYg60srr-xXNkKoMgtmmxKqLehb3bouhu4CyAPMyEX78j8mw9BcWjresFIJIZ4CwbFI0LeWnttERs8UuaKrut7793pS0IBkB6t3Z4iwiFDM79Ap-X3BfxAL_4Ioxvwf7FuwRgem5n_TGK8W-xpO1TAegHdOJideo-b36r7XZqKbkO8i0VJU-VR9yaydKucMPWZJT618h17c3ufpDSRitPgp2Q==&amp;attredirects=0,4570,0,1,6939,337,0,0,1,44,2,1
bit.ly/XMxP2y,3832,0,0,0,13,0,0,0,6,1,1
www.paypal.ca.2196.secure6m.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=37c9b56653e7a447a04859b2d7edc072,10000000,0,0,0,103,0,0,0,30,5,1
thesecondhalfonline.com/wp-includes/js/tinymce/remository.utilitie.htm,10000000,0,1,4018,70,0,0,0,23,1,1
madicinema.x11s.org/siasia1.html,182481,0,0,0,32,0,0,0,19,2,1
www.brimstonenetworksolutions.com/~kayabest/sys/not/521499359863/zip/billing/on/hold/account/id/15498732198732155135/9ec6a36831afb00881f6b3809175870a/,10000000,0,1,3288,150,0,0,0,33,2,1
www.bu.edu/~aarondf/cosmic/,7770,0,0,0,27,0,0,0,10,2,0
www.manitscoldhere.com/resume/index.htm,10000000,0,0,0,39,0,0,0,22,2,0
tools.ietf.org/html/rfc1160,14969,0,1,9133,27,0,0,0,14,2,0
www.gameindustry.com/review/item.asp?id=164,10000000,0,1,10226,43,0,0,0,20,2,0
www157.paypal.co.uk.97568.ssl-980.mx/js/webapps/uk/mpp/?cmnd=_lg&nav=_54A26A02A70BF43E7616,10000000,0,0,0,90,0,0,1,36,6,1
www.w3.org/TR/,483,0,1,10226,14,0,0,0,10,2,0
www.igt.connectingforhealth.nhs.uk/WhatsNewDocuments/Exemplar\%20Laptop\%20Security\%20Policy.doc,10000000,0,0,0,97,0,0,0,34,4,0
www.eon.com.hk/estroke/,10000000,0,0,0,23,0,0,0,14,3,0
bourbon.usc.edu/tgif/,6270,0,0,0,21,0,0,0,15,2,0
www.ecse.monash.edu.au/centres/irrc/index.php,12437,0,0,0,45,0,0,0,22,4,0
holzgermany.com/templates/beez/5148307293/43264726363475426/,10000000,0,0,0,60,0,0,0,15,1,1
www.3dchor.com/3d/products_3d.html,10000000,0,1,366,34,0,0,0,14,2,0
www.mrwolfkids.com.au/www.paypal.com.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.5885d80a13c0db1f8e263663d3f.aee811d01j111yh0111isl153364wxeexfo100011s/d83445df30b623d86fb68996e9713681/login.htm,10000000,0,0,0,248,0,0,0,21,3,1
homepage.ntlworld.com/machine75/index.html,8780,0,1,7671,42,0,0,0,21,2,0
www.cnwaxpd.com/js/?app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index,10000000,0,1,731,84,0,0,0,15,2,1
kelenstudio.hu/muiema22/eabysigninnow/index.html.html,10000000,0,0,0,53,0,0,0,14,1,1
mistrealm.com/DnD/Default.html,10000000,0,1,7305,30,0,0,0,13,1,0
theory.lcs.mit.edu/~rivest/crypto-security.html,1303,0,0,0,47,0,0,0,18,3,0
sevkon.net/js/?ref=3D3D3Dhttp\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fe=,10000000,0,0,0,66,0,0,0,10,1,1
customer.service.secure.paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.c13c0dn63663d3faee8db2b24f7ld6c338b1d9d40.865432.argusconsultoria.com.br/paypal/,10000000,0,1,6209,156,0,0,0,148,16,1
users.telenet.be/taalbureau/,6051,0,0,0,28,0,0,0,16,2,0
www.kde.org/info/3.0.2.php,17881,0,1,8399,26,0,0,0,11,2,0
www.20168.com/beifang/dr.brain/information.html.html,719942,0,1,5844,52,0,0,0,13,2,1
www.brodt.dk/peter/maps.html,10000000,0,0,0,28,0,0,0,12,2,0
www.e-passport.it/maria_elena_tondi/,10000000,0,1,7007,36,0,0,1,17,2,0
www.tamfidelidade.ec.cx/,10000000,0,0,0,24,0,0,0,23,3,1
www.mathematik.uni-bielefeld.de/~sillke/PROBLEMS/Twixt_Proof_Draft,34225,0,0,0,66,0,0,1,31,3,0
l2whispering.com/vodashop/vodafone_security_update.html,10000000,0,0,0,55,0,0,0,16,1,1
ddsltda.com.br/br/templates/rhuk_milkyway/aol.com/update.htm,10000000,0,0,0,60,0,0,0,14,2,1
www.rybkj.cn/jpg/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;amp;amp;amp;app=com-d3,10000000,0,1,731,123,0,0,0,12,2,1
www.w3.org/TR/xforms/,483,0,1,10226,21,0,0,0,10,2,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7crLG3diAoNo8HcaHEdgzMh3jfMT6G-q2taIFbV0WCeM5C0AapEQPDXBC1Pd43YWPM5Mn5d8i6Pz-tC5JM_u6g8QEf9OIhCIaHPhwaW86e1TwaYIOZ920vsBxngbjy9QtwzZ2RytBHrxL-1fSHDVVeMzHK4FIeEEjTp-RlbrW1ojmG61PV1MpZpbp2bvX-TqHzamohxB7xlHXZcgSIPikLQy6li28g==&amp;attredirects=2,4570,0,1,6939,337,0,0,1,44,2,1
www.lemnet.com/guestbooks/,10000000,0,1,1827,26,0,0,0,14,2,0
creativecommons.org/license/,3350,0,1,7305,28,0,0,0,19,1,0
www.survsoft.com/esurv.php?s=30644&amp;k=15462-0-18080,10000000,0,1,5479,54,0,0,0,16,2,1
unlser1.unl.csi.cuny.edu/faqs/lisp-faq/part6/faq-doc-3.html,3887,0,0,0,59,0,0,0,24,4,0
www.ddj.com/cpp/210604448,10000000,0,1,9496,25,0,0,0,11,2,0
us.diablo.com.zh-jrs.in/login.html?app=w...,10000000,0,0,0,43,0,0,1,23,4,1
tools.ietf.org/html/rfc656,14969,0,1,9133,26,0,0,0,14,2,0
www.rejnok.g6.cz/wp-content/plugins/zlwqoooauia/passchanged.html,182219,0,1,4017,64,0,0,0,16,3,1
1000credi.cabanova.fr/page2.html,733447,0,0,0,32,0,0,0,21,2,1
www.astutechnologies.com/index.htm,10000000,0,0,0,34,0,0,0,24,2,0
"www.tomshardware.com/charts/processors,6.html",825,0,1,8400,45,0,0,0,20,2,0
www.sodivinemagazine.com/blog/blogs.php,10000000,0,1,3652,39,0,0,0,24,2,1
fish-west.co.uk/media/cgi-bin/ca/,10000000,0,0,0,33,0,0,1,15,2,1
www.pagat.com/exact/99.html,96417,0,1,9130,27,0,0,0,13,2,0
www.babinet.cz/avatars/19889/hires/dir/527dd92ef6c2b63256ef86de36272d55/,236871,0,1,7304,72,0,0,0,14,2,1
huaruisolar.com.cn/js/?ref=kkeolnaus.battle.net/d3/en/index,10000000,0,1,366,59,0,0,0,18,2,1
www.aignes.com/deadlink.htm,217907,0,1,7671,27,0,0,0,14,2,0
www.python.org/psf/,4146,0,1,9133,19,0,0,0,14,2,0
www.irnis.net/soft/winbzip2/,10000000,0,1,7305,28,0,0,0,13,2,0
hem.passagen.se/anjo77/stray.htm#technothriller,41500,0,0,0,47,0,0,0,15,2,0
www.freewebs.com/dezerte/,5001,0,1,8035,25,0,0,0,16,2,0
www.xml.lt/Resources/Framework,10000000,0,0,0,30,0,0,0,10,2,0
dawelotibia.w.interia.pl/Tibia/dawelotibia.w.interia.pl/account.html,646,0,0,0,68,0,0,0,24,3,1
www.blackcatsystems.com/software/audiocorder.html,532647,0,1,9496,49,0,0,0,23,2,0
www.andymcm.com/csharpfaq.htm,10000000,0,1,7305,29,0,0,0,15,2,0
www.rytterfalk.com/wp-content/,10000000,0,1,5844,30,0,0,0,18,2,1
www.kaervek.de/amiga/Patches/Kaervek/kaervek.html,10000000,0,0,0,49,0,0,0,14,2,0
paypal.fr.cgi.bin.webscr.cmd.home.locale.x.en.fr.5885d80.ulcerasyozonosalud.com.ar/Virefication/e9a6acb8865d7fe947c902cd77a5aac9/new1/1223e8687199c40a4db72ecac1d6e354/cc5909821b68267bc95f6a6bd9a27868/,10000000,0,0,0,200,0,0,0,82,14,1
inf-tous-editcompte.goodluckwith.us/pypy/nirvana.php?cmd=_login-run&amp;dispatch=a7fa715fda38a56fa47f7039f064193aa7fa715fda38a56fa47f7039f064193a,10000000,0,1,3286,145,0,0,1,35,2,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cq6Ko8fsHOiqWXh_23RS_wuo4zEf2WG3X4tGFlaWCJNZ8YbHPplYU1KQFjXzpyZ6qzsiDm8IEGEaN5MAgBL7dKbMXpxKHAt3kkRHe7aW2xKrcObqDe7YVK6hYaRoD5F5q3Kck_gw4JZvHfiLZoNmKw6RA1PsJ0F0ZRJNYJSzBybGEJMdu5lbwJs-pgJZ9GQb0Fe74-la9MFRC0pPwbphtdIBQw-ZA\%3D\%3D&amp;attredirects=2,4570,0,1,6939,343,0,0,1,44,2,1
www819.paypal.co.uk.19692.ssl-650.mx/js/webapps/uk/mpp/?cmnd=_lg&action=_edit,10000000,0,0,0,77,0,0,1,36,6,1
pastehtml.com/view/bathu668g.html,44061,0,1,4017,33,0,0,0,13,1,1
king-of-news.ru/wp-content/themes/TheStyle/temp/www.paypal.co.uk/index.php/1/paypal/cgi-bin/webscrcmd=_login-run/webscrcmd=_account-run/updates-paypal/confirm-paypal/index.htm,10000000,0,0,0,175,0,0,1,15,1,1
paypa.l.com.c.gi.bin.websicur.cmd.login.submit.dispatch.5885d80a13c0db1f8211h254100012344141371101433333.cristorecursos.com/secure-code239/security/,10000000,0,0,0,148,0,0,0,123,13,1
www.onesquared.com/OneSqEquipment4.htm,10000000,0,1,8035,38,0,0,0,18,2,0
en.wikipedia.org/wiki/Bytecode,6,0,1,8035,30,0,0,0,16,2,0
www.hot.ee/bootdisk/,22071,0,0,0,20,0,0,0,10,2,0
www045.paypal.co.uk.41162.ssl-540.mx/js/webapps/uk/mpp/?cmnd=_lg&nav=_34BAC97DAB65430C166A,10000000,0,0,0,90,0,0,1,36,6,1
www.eagames.com/official/lordoftherings/thetwotowers/us/home.jsp,10000000,0,1,7671,64,0,0,0,15,2,0
www.dmagic.dk/showmaker/,10000000,0,0,0,24,0,0,0,13,2,0
www.inoesis.com/inoesis.com/wp-content/themes/.server/.Allert/PayPal/Limit101/,10000000,0,1,4383,78,0,0,0,15,2,1
www.dune.demon.nl/tabsoft/iconizebar_uk.html,148977,0,0,0,44,0,0,0,17,3,0
moedasgratis-habbo-r7.blogspot.com/,11,0,1,7305,35,0,0,1,34,2,1
www.afthd.tu-darmstadt.de/~dg1kjd/linux-ax25/,34375,0,0,0,45,0,0,1,25,3,0
www.mrtc.mdh.se/projects/DFH/,141384,0,0,0,29,0,0,0,15,3,0
tools.ietf.org/html/rfc2985,14969,0,1,9133,27,0,0,0,14,2,0
codigo47639e6c0.site50.net/Ativar/Acesso/Codigo47639E6C8/,10000000,0,1,4383,57,0,0,0,26,2,1
www.infocannon.net/wp-content/flagallery/laptops/thumbs/DK/netbank/info.htm,10000000,0,0,0,75,0,0,0,18,2,1
www.xeniamaterials.com/english/index.php,10000000,0,1,4018,40,0,0,0,22,2,0
www.doomworld.com/doomgl/,172992,0,1,8400,25,0,0,0,17,2,0
pastehtml.com/view/bgjova4up.html,44061,0,1,4017,33,0,0,0,13,1,1
sayabak.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fbirikkfus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,10000000,0,0,0,116,0,0,0,11,1,1
www.cs.ucl.ac.uk/research/genprog/,10505,0,0,0,34,0,0,0,16,4,0
pauen.tripod.com/photo/index.htm,1267,0,1,9496,32,0,0,0,16,2,0
www.angelfire.com/tx5/wiz/index.html,2547,0,1,8035,36,0,0,0,17,2,0
www.geocities.co.jp/SiliconValley-PaloAlto/9251/ruby/nrb.html,2977,0,1,6969,61,0,0,0,19,3,0
pfd.kkc.rmuti.ac.th/2555/images/pic/lala/image/1/9/2/1/pp/secure-code30/security/login.php,355609,0,0,0,90,0,0,0,19,4,1
www.atticusconsulting.com/rightfax.php,10000000,0,1,7670,38,0,0,0,25,2,0
games.groups.yahoo.com/group/dragonraidlightraiders/,4,0,1,10228,52,0,0,0,22,3,0
amigos-by-orkut15.blogspot.com/,11,0,1,7305,31,0,0,1,30,2,1
www.biz509.com/newsletter/includes/Ser-ici/visa_fur_handler.aspx=35439767111/,10000000,0,0,0,77,0,0,0,14,2,1
secure.runescape.com.ff-login.in/weblogin/loginform.html?mod=www&ssl=0&dest,10000000,0,0,0,75,0,0,1,32,4,1
www.netbsd.org/cgi-bin/subscribe_list.pl?list=tech-security,190351,0,1,9863,59,0,0,0,14,2,0
allaboutbiomedicstoric.com/PP/uk/9425e5741be46990f137f2c3ea12483c/,10000000,0,1,4383,66,0,0,0,26,1,1
meijiababy.com/nowlb/Administrator/natwest/,10000000,0,1,1461,43,0,0,0,14,1,1
websoft.renrenpc.cn/Images/?us.battle.net/login/en/?ref=ijrafhrus.battle.net/d3/en/index&app=com-d3,10000000,0,0,0,99,0,0,0,19,2,1
www.machining-metal.com/5668011161/793540354/,10000000,0,0,0,45,0,0,1,23,2,1
fay.com.pk/suivi/,10000000,0,0,0,17,0,0,0,10,2,1
en.wikipedia.org/wiki/Marvin_Minsky,6,0,1,8035,35,0,0,0,16,2,0
www.kangluchunjiuye.com/images/?us.battle.net/login/en/?ref=kozmktwus.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,366,107,0,0,0,23,2,1
groups.yahoo.com/group/veggieScrabbleNYC/,4,0,1,10228,41,0,0,0,16,2,0
groups.yahoo.com/group/palace-server/,4,0,1,10228,37,0,0,0,16,2,0
www.xml.com/pub/a/2001/09/05/xforms.html,91578,0,1,11321,40,0,0,0,11,2,0
paypal-cy-cgi-bin-webscrlcmd-login-run.paypal.cmd.logi2162662-3466623466234-3262666363324-3732623643264326-paypal.com-7347243n.submit.dispatchnhdjhudhds7766423456789ghf67gfhbn.mindmineng.com/ccb83cba76ccc381374740781ca8db1c/,10000000,0,0,0,224,0,0,1,190,8,1
goldotclothing.com/_vti_log/index.html,10000000,0,0,0,38,0,0,0,18,1,1
www.flamingpear.com/blade.html,541776,0,1,8400,30,0,0,0,19,2,0
users.dimi.uniud.it/~marino.miculan/,56706,0,0,0,36,0,0,0,19,3,0
thehouseofcards.com/retail/pit.html,10000000,0,1,8766,35,0,0,0,19,1,0
konst.org.ua/orpheus,10000000,0,0,0,20,0,0,0,12,2,0
www.nongphue.go.th/webboard_upload/signineByISAPdll23712www0deoasda5.htm,10000000,0,0,0,72,0,0,0,18,3,1
yodel.net/old/java/java.html,10000000,0,1,8400,28,0,0,0,9,1,0
www.xjmukang.com/Images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;tnqwztjamp;ssl=0&amp;dest,10000000,0,1,5113,107,0,0,0,16,2,1
paypal-verification.descargas.scyte.cl/paypal-verifier2013/security/login.php,10000000,0,0,0,77,0,0,1,38,3,1
paypal.com.cgi.bin.webscr.cmd.flow.session.lohzumu98pjkwkwudgtj3ie6btlub.online775885d80a13c0db1f8e263663d3faee8d43b1bb6ca3ufquez.login.efzg5epalogin.styllustaxiarapiraca.com.br/1b90d8111ab05bf1cd8788771c7b20a0/,10000000,0,0,0,211,0,0,0,177,14,1
l-lists.com/en/lists/lv2azk.html,10000000,0,1,2922,32,0,0,1,11,1,0
www.qinxin.cn/images/index.htm?us.battle.net/login/en/?ref=wueqpvnus.battle.net/d3/en/index,10000000,0,1,9132,91,0,0,0,13,2,1
videomotions.com/tv/we-pc/5/westpac.com.au/westpac.html,10000000,0,1,730,55,0,0,0,16,1,1
talifoundation.com/wp-content/themes/index.htm,10000000,0,0,0,46,0,0,0,18,1,1
members.ozemail.com.au/~iandl57/,10000000,0,0,0,32,0,0,0,22,3,0
aol-mylink8.slyip.net/scurelink8.php,10000000,0,1,6939,36,0,0,1,21,2,1
www.epinions.com/cmd-review-413D-14166CB-39F03EA5-prod1,12741,0,1,7670,55,0,0,0,16,2,0
spreadsheets.google.com/spreadsheet/viewform?formkey=dEVkbEE4YUFyNTJBc1E5em1RUlVoX2c6MQ,1,0,1,11322,87,0,0,0,23,2,1
cms.paypal.com.cgi.bin.webscr.cmd.flow.session.lohzumu98pjkwkwudgtj3ie6btlub.online775885d80a13c0db1f8e263663d3faee8d43b1bb6ca3ufquez.craftycarlos.com/988d69e3197f3a630602b14e25afd059/,10000000,0,0,0,184,0,0,0,150,12,1
cgiscripts4u.com/bannercreator/,10000000,0,1,6939,31,0,0,0,16,1,0
www.sxluxing.com/css/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&ttejwtyamp;ssl=0&dest,10000000,0,1,1096,96,0,0,0,16,2,1
en.wikipedia.org/wiki/Lisp_programming_language,6,0,1,8035,47,0,0,0,16,2,0
www.qinxin.cn/images/index.htm?us.battle.net/login/en/?ref=hhlhanous.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,9132,106,0,0,0,13,2,1
www.hncxin.com/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;amp;app=com-d3,10000000,0,1,731,91,0,0,0,14,2,1
www.rfu.org/cp/home.html,10000000,0,1,8399,24,0,0,0,11,2,0
www.ctyme.com/longsave.htm,935302,0,1,9131,26,0,0,0,13,2,0
www.angelfire.com/geek/knownworld,2547,0,1,8035,33,0,0,0,17,2,0
www.1netcentral.com/free_email_directory.html,10000000,0,1,7670,45,0,0,0,19,2,0
pastehtml.com/view/bq4ed1im4.html,44061,0,1,4017,33,0,0,0,13,1,1
xdysb.com/lyb/?ref=http:/eu.battle.net/d3/en/index,10000000,0,1,4018,50,0,0,0,9,1,1
eu-bliizzard.tk/login.asp?amp;app=bam&ref=us.battle.net/account/management/index.xml,10000000,0,0,0,84,0,0,1,15,1,1
www.webring.com/webring?ring=bladepro,8419,0,1,9495,37,0,0,0,15,2,0
news.cnet.com/2100-1033-241377.html,105,0,1,9863,35,0,0,0,13,2,0
www.lightandmatter.com/ear_workout/ear_workout.html,612704,0,1,8766,51,0,0,0,22,2,0
www.zazzle.com/mk/welcome/associates,1152,0,1,10086,36,0,0,0,14,2,0
www.speakerservices.com/adv_pkt.html,10000000,0,1,8035,36,0,0,0,23,2,0
www.cs.umass.edu/~shenoy/mmcn/,12849,0,0,0,30,0,0,0,16,3,0
www.kitebird.com/articles/ruby-mysql.html,670140,0,1,7670,41,0,0,0,16,2,0
www.3dfitz.com/fedex/index.htm,10000000,0,1,5478,30,0,0,0,14,2,1
