ranking,isIp,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
1267,0,35,0,0,0,23,2,0
10000000,0,70,0,0,0,37,5,1
266445,0,22,0,0,0,12,1,0
10000000,0,25,0,0,0,9,1,0
10000000,0,57,0,0,0,34,2,0
14969,0,27,0,0,0,14,2,0
10000000,0,76,0,0,0,22,1,1
10000000,0,79,0,0,0,9,1,1
24889,0,56,0,0,0,12,3,0
10000000,0,112,0,0,0,10,1,1
561,0,16,0,0,0,9,1,1
3352,0,158,0,0,0,14,1,1
2547,0,38,0,0,0,17,2,0
10000000,0,45,0,0,0,16,1,1
2547,0,27,0,0,0,17,2,0
44061,0,33,0,0,0,13,1,1
4570,0,337,0,0,1,44,2,1
44061,0,33,0,0,0,13,1,1
2,0,22,0,0,0,16,2,0
4570,0,371,0,0,1,45,2,1
576,0,31,0,0,0,22,3,0
11,0,30,0,0,1,29,2,1
10000000,0,19,0,0,0,18,2,1
483,0,29,0,0,0,10,2,0
10000000,0,32,0,0,0,24,3,0
168,0,52,0,0,0,23,2,0
10000000,0,152,0,0,1,96,9,1
10000000,0,26,0,0,0,14,3,0
192409,0,28,0,0,0,17,2,0
11,0,35,0,0,1,34,2,1
10000000,0,211,0,0,0,22,1,1
603599,0,26,0,0,0,18,2,0
10000000,0,35,0,0,0,21,2,0
1,0,75,0,0,0,23,2,1
5894,0,38,0,0,0,23,2,0
10000000,0,32,0,0,0,26,5,1
10000000,0,95,0,0,0,16,2,1
10000000,0,184,0,0,0,7,1,1
12518,0,20,0,0,0,15,3,0
4570,0,371,0,0,1,45,2,1
10000000,0,35,0,0,0,17,1,1
8780,0,45,0,0,0,21,2,0
2547,0,37,0,0,0,17,2,0
2547,0,27,0,0,0,17,2,0
82781,0,40,0,0,0,16,1,0
10000000,0,86,0,0,0,18,2,1
10000000,0,38,0,0,0,12,2,0
10000000,0,29,0,0,0,13,2,0
10000000,0,25,0,0,0,19,2,0
10000000,0,32,0,0,0,17,2,0
10000000,0,92,0,0,1,36,6,1
10000000,0,37,0,0,0,13,2,0
91355,0,21,0,0,0,13,2,0
10000000,0,18,0,0,0,9,1,0
10000000,0,28,0,0,0,10,1,1
10000000,0,45,0,0,0,24,2,1
310231,0,43,0,0,1,25,2,1
571788,0,29,0,0,0,20,2,0
10000000,0,47,0,0,0,21,2,0
79883,0,41,0,0,0,30,4,0
38231,0,44,0,0,0,14,1,0
89011,0,35,0,0,0,16,2,0
1104,0,49,0,0,0,22,3,0
5738,0,24,0,0,0,16,4,0
10000000,0,76,0,0,0,27,1,1
10000000,0,100,0,0,0,21,3,1
10000000,0,47,0,0,0,11,1,1
10000000,0,100,0,0,0,13,2,1
646,0,33,0,0,1,32,3,1
10000000,0,61,0,0,0,15,1,1
10000000,0,63,0,0,0,32,2,1
283493,0,40,0,0,0,19,2,0
10000000,0,128,0,0,1,26,5,1
4626,0,34,0,0,0,11,1,0
10000000,0,19,0,0,0,18,2,1
10000000,0,82,0,0,1,17,2,1
6,0,26,0,0,0,16,2,0
10000000,0,94,0,0,1,26,5,1
10000000,0,18,0,0,0,17,1,1
10000000,0,161,0,0,0,23,2,1
44061,0,33,0,0,0,13,1,1
10000000,0,30,0,0,0,15,2,0
10000000,0,69,0,0,0,19,1,1
10000000,0,90,0,0,0,19,1,1
182345,0,34,0,0,0,19,2,0
10000000,0,34,0,0,0,18,2,1
4570,0,345,0,0,1,45,2,1
10000000,0,49,0,0,0,27,2,0
10000000,0,48,0,0,0,22,2,1
13453,0,74,0,0,0,22,2,1
7257,0,45,0,0,0,15,3,0
10000000,0,33,0,0,0,17,2,0
10000000,0,41,0,0,1,13,2,1
14969,0,27,0,0,0,14,2,0
10000000,0,172,0,0,1,133,11,1
801,0,25,0,0,0,14,2,0
41500,0,22,0,0,0,15,2,0
10000000,0,77,0,0,0,22,2,1
10000000,0,76,0,0,0,21,3,1
10000000,0,76,0,0,0,22,2,1
765515,0,31,0,0,0,19,2,0
44061,0,33,0,0,0,13,1,1
10000000,0,116,0,0,0,15,2,1
663159,0,88,0,0,1,22,2,1
10000000,0,46,0,0,0,26,3,0
14969,0,26,0,0,0,14,2,0
10000000,0,42,0,0,0,25,3,1
405872,0,77,0,0,0,18,2,0
10000000,0,42,0,0,1,19,3,1
4570,0,371,0,0,1,45,2,1
10000000,0,30,0,0,0,18,4,0
10000000,0,58,0,0,0,15,3,0
2014,0,47,0,0,0,20,2,0
10000000,0,137,0,0,0,20,2,1
2547,0,42,0,0,0,17,2,0
10000000,0,33,0,0,0,16,2,0
10000000,0,42,0,0,0,18,2,0
10000000,0,116,0,0,0,13,1,1
10000000,0,99,0,0,0,32,5,1
451,0,66,0,0,0,19,3,0
10000000,0,139,0,0,0,9,1,1
10000000,0,66,0,0,0,13,1,1
10000000,0,96,0,0,1,17,2,1
607150,0,30,0,0,0,14,2,1
10000000,0,179,0,0,0,20,2,1
53,0,27,0,0,0,13,2,0
10000000,0,24,0,0,0,19,2,0
443373,0,34,0,0,0,18,2,0
71543,0,43,0,0,0,15,2,0
14969,0,27,0,0,0,14,2,0
10000000,0,51,0,0,0,30,4,1
10000000,0,40,0,0,0,13,2,0
11,0,31,0,0,1,30,2,1
829,0,46,0,0,0,21,2,0
14969,0,25,0,0,0,14,2,0
10000000,0,36,0,0,0,14,3,0
17156,0,33,0,0,0,11,2,0
262318,0,40,0,0,0,10,2,0
10000000,0,36,0,0,1,25,3,1
340634,0,15,0,0,0,10,1,1
10000000,0,37,0,0,0,16,2,0
10000000,0,129,0,0,0,11,1,1
10000000,0,74,0,0,0,24,2,1
576,0,23,0,0,1,14,2,0
10000000,0,78,0,0,0,18,2,1
3533,0,58,0,0,0,29,2,0
126588,0,37,0,0,0,21,2,1
10000000,0,212,0,0,0,18,2,1
10000000,0,27,0,0,0,16,3,0
29,0,46,0,0,0,18,2,0
10000000,0,277,0,0,0,66,8,1
10000000,0,51,0,0,0,23,2,0
4570,0,345,0,0,1,45,2,1
10000000,0,54,0,0,0,21,2,0
10000000,0,22,0,0,0,15,2,1
1078,0,25,0,0,0,13,2,0
187242,0,32,0,0,0,21,2,0
10000000,0,98,0,0,0,18,1,1
2514,0,56,0,0,0,21,3,0
10000000,0,147,0,0,1,113,10,1
10000000,0,45,0,0,0,12,1,1
10000000,0,68,0,0,0,18,1,1
10000000,0,119,0,0,0,85,10,1
10000000,0,64,0,0,1,23,1,1
10000000,0,43,0,0,0,17,2,1
14969,0,27,0,0,0,14,2,0
10000000,0,34,0,0,0,16,1,1
10000000,0,122,0,0,0,8,1,1
10000000,0,38,0,0,0,10,1,1
10000000,0,256,0,0,0,22,1,1
157008,0,33,0,0,1,14,1,0
4,0,36,0,0,0,16,2,0
10000000,0,33,0,0,0,12,2,0
10000000,0,27,0,0,0,26,2,1
10000000,0,105,0,0,0,24,4,1
4,0,43,0,0,0,21,3,0
526783,0,27,0,0,0,16,2,0
266607,0,36,0,0,0,12,2,0
898933,0,38,0,0,1,27,2,0
10000000,0,62,0,0,0,16,2,1
10000000,0,27,0,0,0,18,2,0
10000000,0,64,0,0,0,19,2,1
84406,0,25,0,0,0,11,2,0
14969,0,27,0,0,0,14,2,0
10000000,0,20,0,0,0,13,2,1
10000000,0,37,0,0,0,13,2,0
2604,0,24,0,0,0,18,3,0
9466,0,21,0,0,0,13,2,0
44061,0,33,0,0,0,13,1,1
10000000,0,66,0,0,0,15,1,1
10000000,0,99,0,0,0,14,1,1
115968,0,32,0,0,0,19,2,0
10000000,0,20,0,0,0,13,2,0
10000000,0,96,0,0,0,20,2,1
10000000,0,113,0,0,0,11,1,1
906392,0,116,0,0,0,10,2,1
10000000,0,35,0,0,0,19,1,1
10000000,0,52,0,0,0,22,2,1
10000000,0,113,0,0,0,13,2,1
10000000,0,35,0,0,0,13,1,1
52914,0,32,0,0,0,21,3,0
10000000,0,36,0,0,0,19,2,0
604,0,26,0,0,0,25,2,1
29190,0,40,0,0,0,14,3,0
10000000,0,21,0,0,0,20,2,1
10000000,0,79,0,0,0,17,1,1
10000000,0,45,0,0,0,27,2,0
10000000,0,179,0,0,1,31,4,1
1104,0,43,0,0,0,18,2,0
91824,0,57,0,0,0,14,2,0
10000000,0,42,0,0,0,24,2,1
10000000,0,35,0,0,0,24,2,0
10000000,0,47,0,0,0,15,2,0
10000000,0,144,0,0,1,26,2,1
10000000,0,79,0,0,0,18,1,1
10000000,0,330,0,0,1,110,8,1
10000000,0,112,0,0,1,95,5,1
14969,0,27,0,0,0,14,2,0
4570,0,345,0,0,1,45,2,1
10000000,0,43,0,0,0,16,2,0
152,0,42,0,0,1,41,3,1
10000000,0,62,0,0,1,61,9,1
4570,0,345,0,0,1,45,2,1
58717,0,36,0,0,0,19,2,0
10000000,0,30,0,0,0,25,1,1
10000000,0,34,0,0,0,17,2,0
10000000,0,93,0,0,0,18,2,1
14969,0,25,0,0,0,14,2,0
10000000,0,223,0,0,0,9,1,1
10000000,0,24,0,0,0,14,2,0
10000000,0,74,0,1,1,28,1,1
10000000,0,106,0,0,0,33,6,1
10000000,0,66,0,0,1,32,4,1
10000000,0,42,0,0,0,26,2,1
10000000,0,25,0,0,0,7,1,0
14969,0,27,0,0,0,14,2,0
4570,0,345,0,0,1,45,2,1
10000000,0,104,0,0,0,15,2,1
10000000,0,83,0,0,0,9,1,1
10000000,0,421,0,0,0,162,18,1
310922,0,51,0,0,0,19,2,0
1,0,100,0,0,0,15,2,1
4,0,29,0,0,0,16,2,0
10000000,0,20,0,0,0,12,2,0
10000000,0,47,0,0,0,19,2,0
217382,0,17,0,0,0,8,2,0
98662,0,24,0,0,0,14,2,0
18,0,29,0,0,0,17,3,0
3103,0,55,0,0,0,19,3,0
10000000,0,23,0,0,1,16,2,0
10000000,0,146,0,0,1,26,5,1
22094,0,27,0,0,0,18,2,0
10000000,0,88,0,0,0,20,2,1
301,0,44,0,0,0,43,2,1
10000000,0,54,0,0,0,14,2,1
6751,0,44,0,0,0,11,2,0
10000000,0,16,0,0,0,15,2,1
14969,0,27,0,0,0,14,2,0
10000000,0,46,0,0,0,15,2,0
10000000,0,32,0,0,0,19,3,0
43466,0,49,0,0,0,19,3,0
314865,0,24,0,0,0,15,2,0
14795,0,32,0,0,0,20,2,0
10000000,0,32,0,0,0,15,2,0
24554,0,60,1,0,1,17,2,0
10000000,0,94,0,0,0,17,3,1
5001,0,25,0,0,0,16,2,0
27817,0,37,0,0,0,22,4,0
10000000,0,59,0,0,0,9,1,1
520827,0,153,0,0,0,14,2,1
10000000,0,98,0,0,0,9,1,1
10000000,0,32,0,0,0,17,2,1
10000000,0,34,0,0,0,17,2,0
10000000,0,35,0,0,0,22,2,0
483,0,30,0,0,0,10,2,0
52898,0,26,0,0,0,18,2,0
10000000,0,139,0,0,1,96,6,1
32906,0,43,0,0,0,19,2,0
14969,0,27,0,0,0,14,2,0
10000000,0,21,0,0,0,13,2,0
4146,0,34,0,0,0,14,2,0
23352,0,55,0,0,0,11,2,0
10000000,0,40,0,0,0,19,2,0
10000000,0,35,0,0,0,26,2,1
41508,0,34,0,0,0,13,2,0
10000000,0,184,0,0,0,14,1,1
10000000,0,21,0,0,0,17,1,1
10000000,0,68,0,0,0,17,2,1
44061,0,33,0,0,0,13,1,1
43948,0,37,0,0,0,14,3,0
10000000,0,27,0,0,0,13,2,0
357,0,19,0,0,0,19,2,1
10000000,0,156,0,0,0,134,7,1
14969,0,26,0,0,0,14,2,0
14969,0,25,0,0,0,14,2,0
11371,0,46,0,0,0,10,2,0
13849,0,33,0,0,0,18,3,0
1267,0,29,0,0,0,19,2,0
10000000,0,104,0,0,0,15,2,1
10000000,0,39,0,0,0,20,2,1
10000000,0,149,0,0,0,26,2,1
10000000,0,84,0,0,1,39,5,1
10000000,0,84,0,0,1,39,5,1
10000000,0,78,0,0,0,25,2,1
2514,0,56,0,0,0,21,3,0
203224,0,58,0,0,1,16,2,0
10000000,0,69,0,0,1,26,1,1
38231,0,59,0,0,0,14,1,0
468779,0,76,0,0,1,15,1,1
10000000,0,121,0,0,0,11,1,1
57584,0,57,0,0,0,15,2,0
10000000,0,79,0,0,0,16,1,1
80053,0,160,0,0,0,18,2,1
10000000,0,35,0,0,0,21,3,0
10000000,0,88,0,1,0,19,2,1
498549,0,34,0,0,0,22,2,0
10000000,0,53,0,0,0,17,1,1
10000000,0,65,0,0,1,18,3,1
1477,0,43,0,0,0,18,2,0
10000000,0,19,0,0,1,14,1,1
10000000,0,44,0,0,0,25,2,0
10000000,0,88,0,0,1,15,1,1
176,0,48,0,0,0,18,2,0
168,0,39,0,0,0,15,1,0
10000000,0,32,0,0,1,18,2,0
13531,0,28,0,0,0,15,2,0
10000000,0,106,0,0,0,13,2,1
178033,0,37,0,0,0,19,2,0
62530,0,38,0,0,0,22,2,0
10000000,0,310,0,0,0,209,12,1
3832,0,13,0,0,0,6,1,1
168,0,33,0,0,0,21,2,0
772,0,32,0,0,0,21,3,0
10000000,0,81,0,0,0,14,3,1
10000000,0,35,0,0,0,14,2,0
10000000,0,73,0,0,0,14,2,1
10000000,0,24,0,0,1,23,2,1
10000000,0,156,0,0,0,11,1,1
10000000,0,54,0,0,0,16,1,1
236871,0,72,0,0,0,14,2,1
10000000,0,38,0,0,0,16,2,0
10000000,0,39,0,0,0,16,2,0
54258,0,25,0,0,0,15,2,0
31004,0,45,0,0,0,21,2,0
1303,0,28,0,0,0,20,3,0
121358,0,35,0,0,0,21,2,0
13979,0,33,0,0,0,15,2,0
186750,0,37,0,0,0,14,2,0
10000000,0,28,0,0,0,12,2,1
576,0,21,0,0,0,14,3,0
44061,0,33,0,0,0,13,1,1
140100,0,25,0,0,0,15,2,0
28881,0,40,0,0,0,15,2,1
735964,0,37,0,0,0,16,2,0
2547,0,26,0,0,0,17,2,0
10000000,0,33,0,0,0,17,2,1
14969,0,26,0,0,0,14,2,0
10000000,0,108,0,0,1,26,5,1
10000000,0,113,0,0,0,14,2,1
10000000,0,31,0,0,0,14,2,0
10000000,0,23,0,0,0,13,2,0
10000000,0,295,0,0,0,124,12,1
497652,0,27,0,0,0,18,2,0
10000000,0,107,0,0,0,14,2,1
10000000,0,77,0,0,1,43,4,1
2547,0,36,0,0,0,17,2,0
10000000,0,60,0,0,0,15,1,1
10000000,0,40,0,0,0,24,2,1
2547,0,31,0,0,0,17,2,0
10000000,0,44,0,0,0,15,2,0
10000000,0,20,0,0,0,15,1,1
10000000,0,41,0,0,0,19,2,0
10000000,0,36,0,0,1,22,2,0
10000000,0,54,0,0,0,53,5,1
182461,0,12,0,0,0,6,1,1
10000000,0,59,0,0,0,16,2,1
10000000,0,96,0,0,0,13,1,1
10000000,0,97,0,0,0,14,2,1
10000000,0,31,0,0,0,13,2,0
14969,0,27,0,0,0,14,2,0
215326,0,50,0,0,0,19,2,0
9466,0,38,0,0,0,14,2,0
10000000,0,47,0,0,0,21,3,1
10000000,0,36,0,0,0,11,1,1
10000000,0,17,0,0,0,9,1,0
10000000,0,23,0,0,0,17,1,1
8792,0,22,0,0,0,15,2,0
14407,0,34,0,0,0,10,2,0
10000000,0,47,0,0,0,11,2,1
10000000,0,106,0,0,0,17,1,1
2514,0,56,0,0,0,21,3,0
10000000,0,62,0,0,0,17,2,1
44194,0,32,0,0,0,23,3,0
5001,0,27,0,0,0,16,2,0
308956,0,29,0,0,0,14,2,0
971105,0,27,0,0,0,19,2,0
6665,0,29,0,0,0,17,2,0
23947,0,53,0,0,0,16,2,0
753,0,43,0,0,0,16,2,0
210811,0,46,0,0,0,20,2,0
10000000,0,198,0,0,1,187,16,1
10000000,0,22,0,0,0,15,2,1
10000000,0,110,0,0,1,89,10,1
13759,0,38,0,0,0,14,3,0
10000000,0,139,0,0,0,105,13,1
10000000,0,15,0,0,0,11,2,1
2547,0,37,0,0,0,17,2,0
41500,0,35,0,0,0,15,2,0
20883,0,56,0,0,0,16,2,0
12882,0,42,0,0,0,16,2,0
10000000,0,29,0,0,0,18,1,0
10000000,0,61,0,0,0,14,2,1
105,0,35,0,0,0,13,2,0
70181,0,80,0,0,0,25,2,1
10000000,0,28,0,0,0,27,2,1
10000000,0,31,0,0,0,16,2,0
10000000,0,68,0,0,0,22,2,1
10000000,0,62,0,0,0,21,2,1
10000000,0,23,0,0,0,16,2,0
9506,0,53,0,0,0,17,2,0
262851,0,33,0,0,0,16,2,0
10000000,0,33,0,0,1,18,2,1
10000000,0,98,0,0,0,18,2,1
743657,0,34,0,0,0,12,2,0
10000000,0,68,0,0,0,22,1,1
29665,0,85,0,0,0,37,3,1
10000000,0,79,0,0,0,15,1,1
996,0,28,0,0,0,8,1,0
10000000,0,39,0,0,0,17,2,0
4570,0,371,0,0,1,45,2,1
10000000,0,72,0,0,0,16,2,0
10000000,0,26,0,0,0,15,1,0
14969,0,27,0,0,0,14,2,0
44061,0,33,0,0,0,13,1,1
10000000,0,73,0,0,0,19,1,1
133943,0,32,0,0,0,24,2,1
35235,0,37,0,0,0,19,2,0
8556,0,43,0,0,1,32,2,1
14969,0,26,0,0,0,14,2,0
10000000,0,141,0,0,0,24,2,1
10000000,0,28,0,0,0,18,1,1
10000000,0,57,0,0,0,20,2,1
23343,0,33,0,0,0,13,1,0
14969,0,26,0,0,0,14,2,0
4570,0,371,0,0,1,45,2,1
10000000,0,92,0,0,1,36,6,1
10000000,0,37,0,0,0,17,2,0
229346,0,36,0,0,0,11,2,0
10000000,0,67,0,1,0,21,2,1
7422,0,25,0,0,1,24,2,1
10000000,0,30,0,0,0,16,2,0
10000000,0,28,0,0,0,13,2,0
9,0,42,0,0,0,14,2,0
10000000,0,116,0,0,0,13,2,1
10000000,0,42,0,0,0,13,1,1
10000000,0,21,0,0,0,20,2,1
10000000,0,33,0,0,0,23,2,0
10000000,0,36,0,0,1,25,1,1
10000000,0,21,0,0,0,13,2,0
2514,0,56,0,0,0,21,3,0
10000000,0,58,0,0,1,13,1,1
14969,0,27,0,0,0,14,2,0
10000000,0,30,0,0,0,21,2,0
168,0,32,0,0,0,15,1,0
8506,0,46,0,0,0,19,2,1
85676,0,39,0,0,0,22,2,0
10000000,0,81,0,0,0,21,3,1
10000000,0,35,0,0,1,19,2,0
4570,0,371,0,0,1,45,2,1
10000000,0,123,0,0,0,17,2,1
10000000,0,30,0,0,0,20,3,0
128698,0,49,0,0,0,12,2,0
1303,0,31,0,0,0,11,2,0
10000000,0,141,0,0,0,13,1,1
10000000,0,27,0,0,0,17,1,0
3690,0,68,0,0,0,27,4,0
10000000,0,77,0,0,1,36,6,1
1,0,79,0,0,0,15,2,1
11142,0,28,0,0,0,15,1,1
10000000,0,30,0,0,0,16,2,0
126371,0,30,0,0,0,15,1,0
497652,0,39,0,0,0,18,2,0
10000000,0,36,0,0,0,19,2,0
10000000,0,22,0,0,0,16,2,0
27818,0,22,0,0,0,14,2,0
10000000,0,22,0,0,0,14,2,0
